epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,1102.36,0.91501,1.15155,0.93352,0.00287,1.18166,0.5848,0.53154,0.56496,0.44974,0.59854,0.52866,0.5645,0.43015,0.76226,1.16486,1.44838,0.00568,0,0.0005644,0.0005644,0.0005644
68,1118.61,0.89613,1.1299,0.96969,0.00306,1.33016,0.62191,0.50677,0.52339,0.41464,0.62359,0.50273,0.52443,0.40064,0.77302,1.17483,1.73727,0.00579,0,0.0005578,0.0005578,0.0005578
69,1135.4,0.87728,1.09235,0.93522,0.00275,1.30348,0.62244,0.52476,0.52089,0.41134,0.6236,0.52383,0.52258,0.39383,0.79001,1.20437,1.61297,0.00606,0,0.0005512,0.0005512,0.0005512
70,1152.15,0.91468,1.1235,0.9254,0.00294,1.14075,0.54761,0.56236,0.53455,0.42292,0.55108,0.56392,0.53549,0.40702,0.78858,1.19573,1.47521,0.00611,0,0.0005446,0.0005446,0.0005446
71,1168.67,0.89896,1.07417,0.91308,0.0028,1.13444,0.53529,0.51724,0.51612,0.4105,0.53884,0.51932,0.51861,0.38443,0.78491,1.19985,1.55959,0.00612,0,0.000538,0.000538,0.000538
72,1184.78,0.92462,1.14765,0.92067,0.00285,1.16082,0.51829,0.51999,0.4954,0.39343,0.51863,0.5211,0.49717,0.37097,0.80307,1.21283,1.62705,0.00621,0,0.0005314,0.0005314,0.0005314
73,1201.08,0.87825,1.08082,0.89474,0.00281,1.17444,0.52533,0.53116,0.48114,0.38098,0.53276,0.53087,0.48322,0.35844,0.77509,1.18019,1.95931,0.00586,0,0.0005248,0.0005248,0.0005248
74,1217.5,0.94376,1.18486,0.9574,0.00309,1.21016,0.59769,0.46794,0.48946,0.39028,0.60294,0.46913,0.49334,0.37107,0.77437,1.16622,2.2169,0.00592,0,0.0005182,0.0005182,0.0005182
75,1233.17,0.8677,1.05718,0.92007,0.00291,1.22078,0.52844,0.50301,0.47256,0.38387,0.53683,0.50765,0.47888,0.36321,0.76424,1.13002,2.1947,0.0058,0,0.0005116,0.0005116,0.0005116
76,1249.9,0.88889,1.07699,0.8839,0.00288,1.08828,0.4864,0.51121,0.45605,0.37175,0.50351,0.5131,0.46348,0.35408,0.75689,1.14135,2.06554,0.0057,0,0.000505,0.000505,0.000505
